Brand,Model,ScreenSize,Resolution,DisplayType,Processor,OS,OS_Score,WiFi,HDMI,HDMI_Version,AudioW,HDR10,Bluetooth,Weight,MEPS_Rating,Accessories_Count,FloorStand_Included,AVR_Included,AVR_Capacity,Warranty_Years,BasePrice,Zone1_Premium,Zone2_Premium,Compliant
Samsung,QN65Q80F,65,4K,QLED,Quad Core,Tizen,0.9,WiFi 6,4,2.1,60,Yes,Yes,21.5,5,8,Yes,Yes,1200,3,6999,5.0,5.0,Yes
Samsung,QN65Q90F,65,4K,Neo QLED,Quad Core,Tizen,0.9,WiFi 6,4,2.1,70,Yes,Yes,22.0,5,9,Yes,Yes,1500,3,8999,5.0,5.0,Yes
Samsung,UA65DU7000,65,4K,LED,Quad Core,Tizen,0.9,WiFi 5,3,2.1,20,Yes,Yes,23.5,3,7,Yes,Yes,800,3,2999,5.0,5.0,Yes
Samsung,UA65DU8000,65,4K,LED,Quad Core,Tizen,0.9,WiFi 6,4,2.1,30,Yes,Yes,22.8,4,7,Yes,Yes,1000,3,3799,5.0,5.0,Yes
Samsung,QN65Q70F,65,4K,QLED,Quad Core,Tizen,0.9,WiFi 6,4,2.1,40,Yes,Yes,22.2,4,8,Yes,Yes,1000,3,5499,5.0,5.0,Yes
Samsung,UA65CU8000,65,4K,LED,Quad Core,Tizen,0.9,WiFi 5,3,2.1,20,Yes,Yes,23.1,3,7,Yes,Yes,800,3,3299,5.0,5.0,Yes
Samsung,QA65S95F,65,4K,OLED,Quad Core,Tizen,0.9,WiFi 6,4,2.1,60,Yes,Yes,21.0,5,10,Yes,Yes,1500,3,10999,5.0,5.0,Yes
Samsung,QA65S90F,65,4K,OLED,Quad Core,Tizen,0.9,WiFi 6,4,2.1,60,Yes,Yes,21.3,5,9,Yes,Yes,1500,3,9999,5.0,5.0,Yes
LG,65UR7550,65,4K,LED,Quad Core,webOS,0.9,WiFi 5,3,2.1,20,Yes,Yes,24.0,3,7,Yes,Yes,800,2,2899,5.0,5.0,Yes
LG,65UQ7500,65,4K,LED,Quad Core,webOS,0.9,WiFi 5,3,2.0,20,Yes,Yes,24.5,3,7,Yes,Yes,800,2,2799,5.0,5.0,Yes
LG,65QNED80,65,4K,QNED,Quad Core,webOS,0.9,WiFi 6,4,2.1,40,Yes,Yes,23.0,4,8,Yes,Yes,1000,3,4999,5.0,5.0,Yes
LG,65C4 OLED,65,4K,OLED,Quad Core,webOS,0.9,WiFi 6,4,2.1,40,Yes,Yes,21.5,5,9,Yes,Yes,1200,3,7999,5.0,5.0,Yes
LG,65C5 OLED,65,4K,OLED,Quad Core,webOS,0.9,WiFi 6,4,2.1,40,Yes,Yes,21.8,5,9,Yes,Yes,1200,3,8499,5.0,5.0,Yes
LG,65G4 OLED,65,4K,OLED,Quad Core,webOS,0.9,WiFi 6,4,2.1,60,Yes,Yes,20.5,5,10,Yes,Yes,1500,3,11999,5.0,5.0,Yes
LG,65UP8000,65,4K,LED,Quad Core,webOS,0.9,WiFi 5,3,2.1,20,Yes,Yes,24.2,3,7,Yes,Yes,800,2,3199,5.0,5.0,Yes
LG,65UA7350,65,4K,LED,Quad Core,webOS,0.9,WiFi 5,3,2.1,20,Yes,Yes,23.8,3,7,Yes,Yes,800,3,2699,5.0,5.0,Yes
Sony,XR65X90L,65,4K,LED,Quad Core,Google TV,1.0,WiFi 6,4,2.1,30,Yes,Yes,23.8,4,7,Yes,Yes,1000,3,5999,5.0,5.0,Yes
Sony,XR65X95L,65,4K,LED,Quad Core,Google TV,1.0,WiFi 6,4,2.1,40,Yes,Yes,23.5,4,8,Yes,Yes,1200,3,7999,5.0,5.0,Yes
Sony,KD65X75K,65,4K,LED,Quad Core,Google TV,1.0,WiFi 5,3,2.1,20,Yes,Yes,24.2,3,7,Yes,Yes,800,2,3499,5.0,5.0,Yes
